Id,LotArea,YearBuilt,Heating,CentralAir,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars
118,8536,2006,GasA,Y,1,1,2,5,2
119,12376,1990,GasA,Y,3,0,5,11,3
120,8461,2005,GasA,Y,2,1,3,8,2
121,21453,1969,GasA,Y,1,0,1,4,2
122,6060,1939,GasA,Y,1,0,3,4,1
123,9464,1958,GasA,Y,1,0,3,5,1
124,7892,1993,GasA,Y,2,0,2,5,2
125,17043,1979,GasA,Y,2,0,3,7,2
126,6780,1935,GasA,N,1,0,2,5,0
127,4928,1976,GasA,Y,2,0,2,5,2
128,4388,1930,GasA,Y,1,0,3,5,0
129,7590,1966,GasA,Y,1,1,3,6,2
130,8973,1958,GasA,Y,1,1,3,6,2
131,14200,1966,GasA,Y,2,1,4,8,2
132,12224,2000,GasA,Y,2,1,3,7,2
133,7388,1959,GasA,Y,1,0,3,7,2
134,6853,2001,GasA,Y,2,0,2,6,2
135,10335,1968,GasA,Y,2,1,3,7,2
136,10400,1970,GasA,Y,2,0,3,7,2
137,10355,1967,GasA,Y,2,0,3,5,1
138,11070,1988,GasA,Y,3,0,5,9,3
139,9066,1999,GasA,Y,2,1,3,7,3
140,15426,1997,GasA,Y,2,1,3,7,2
141,10500,1971,GasA,Y,1,0,3,5,0
142,11645,2005,GasA,Y,2,0,3,7,2
143,8520,1952,GasA,Y,2,0,4,6,2
144,10335,1999,GasA,Y,2,0,3,6,2
145,9100,1963,GasA,Y,2,0,6,10,2
146,2522,2004,GasA,Y,2,0,3,7,2
147,6120,1931,GasA,Y,1,0,2,5,1
148,9505,2001,GasA,Y,2,1,3,8,2
149,7500,2004,GasA,Y,1,0,3,6,0
150,6240,1936,GasA,Y,1,0,3,7,1
151,10356,1975,GasA,Y,1,1,3,5,2
152,13891,2007,GasA,Y,2,0,2,6,3
153,14803,1971,GasA,Y,2,1,4,8,2
154,13500,1960,GasA,Y,1,0,1,4,2
155,11340,1923,GasA,Y,1,0,4,7,1
156,9600,1924,Grav,N,1,0,2,5,0
157,7200,1950,GasA,Y,1,0,2,5,2
158,12003,2009,GasA,Y,2,1,4,8,3
159,12552,2004,GasA,Y,2,1,3,8,2
160,19378,2005,GasA,Y,2,1,4,9,2
161,11120,1984,GasA,Y,2,0,3,6,2
162,13688,2003,GasA,Y,2,1,3,10,3
163,12182,2005,GasA,Y,2,0,3,7,2
164,5500,1956,GasA,Y,1,0,1,4,0
165,5400,1926,GasA,Y,2,0,3,5,1
166,10106,1940,GasA,Y,2,0,4,6,0
167,10708,1955,GasA,Y,1,0,2,7,1
168,10562,2007,GasA,Y,1,1,3,8,3
169,8244,2004,GasA,Y,2,1,3,7,2
170,16669,1981,GasA,Y,2,1,2,6,2
171,12358,1941,GasA,Y,1,1,2,7,2
172,31770,1960,GasA,Y,1,0,3,7,2
173,5306,1987,GasA,Y,2,0,2,5,2
174,10197,1961,GasA,Y,1,1,3,6,2
175,12416,1986,GasA,Y,2,0,3,7,2
176,12615,1950,GasA,Y,2,0,4,7,2
177,10029,1988,GasA,Y,2,1,4,8,2
178,13650,1958,GasA,Y,2,0,4,8,2
179,17423,2008,GasA,Y,2,0,1,9,3
180,8520,1923,GasA,Y,1,0,2,5,2
181,2117,2000,GasA,Y,2,1,3,5,2
182,7588,1920,GasA,Y,1,1,4,9,1
183,9060,1957,GasA,Y,1,0,3,7,1
184,11426,2003,GasA,Y,2,1,3,6,2
185,7438,1908,GasA,Y,1,0,3,5,2
186,22950,1892,GasA,Y,2,1,4,12,3
187,9947,1990,GasA,Y,2,0,3,6,2
188,10410,1916,GasA,Y,2,1,3,8,1
189,7018,1979,GasA,Y,0,2,2,6,2
190,4923,2001,GasA,Y,1,1,0,5,2
191,10570,1932,GasA,Y,2,1,3,10,2
192,7472,1972,GasA,Y,1,1,4,7,2
193,9017,1999,GasA,Y,2,0,3,6,2
194,2522,2004,GasA,Y,2,0,3,7,2
195,7180,1972,GasA,Y,1,0,3,5,1
196,2280,1976,GasA,Y,2,1,3,7,2
197,9416,2007,GasA,Y,2,0,3,8,3
198,25419,1918,GasA,Y,2,0,4,8,2
199,5520,1912,GasA,Y,1,0,5,8,0
200,9591,2004,GasA,Y,2,0,3,7,3
201,8546,2003,GasA,Y,2,0,2,5,2
202,10125,1977,GasA,Y,2,0,3,6,2
203,7000,1924,GasA,Y,2,0,2,6,1
204,4438,2004,GasA,Y,1,0,1,3,2
205,3500,1947,GasA,Y,1,1,2,5,1
206,11851,1990,GasA,Y,2,0,3,5,2
207,13673,1962,GasA,Y,1,1,3,8,1
208,12493,1960,GasA,Y,1,0,3,6,1
209,14364,1988,GasA,Y,2,1,3,7,2
210,8250,1964,GasA,Y,1,0,3,6,2
211,5604,1925,GasA,N,1,0,2,5,0
212,10420,2009,GasA,Y,2,0,3,6,2
213,8640,2009,GasA,Y,2,1,3,7,2
214,13568,1995,GasA,Y,1,0,3,5,2
215,10900,1977,GasA,Y,1,1,3,6,1
216,10011,1957,GasA,Y,1,0,2,6,1
217,8450,2004,GasA,Y,2,0,3,8,2
218,9906,1925,GasA,N,1,0,3,8,1
219,15660,1939,GasA,Y,1,1,3,8,2
220,3010,2005,GasA,Y,2,0,2,5,2
221,8990,2006,GasA,Y,2,0,2,5,2
222,8068,2002,GasA,Y,2,1,4,8,2
223,11475,1975,GasA,Y,2,1,3,6,2
224,10500,1971,GasA,Y,1,0,2,4,2
225,13472,2003,GasA,Y,2,0,3,8,3
226,1680,1971,GasA,Y,2,1,3,6,1
227,9950,1995,GasA,Y,2,1,4,9,3
228,1869,1970,GasA,Y,1,1,2,5,1
229,8521,1967,GasA,Y,1,0,3,5,1
230,3182,2005,GasA,Y,2,0,2,7,2
231,8760,1959,GasA,Y,1,0,3,6,1
232,15138,1995,GasA,Y,2,1,4,9,3
233,1680,1972,GasA,Y,1,1,2,5,1
234,10650,1976,GasA,Y,1,0,3,5,1
235,7851,2002,GasA,Y,2,1,4,8,2
236,1680,1971,GasA,Y,1,1,2,5,1
237,8773,2004,GasA,Y,2,0,3,6,2
238,9453,1993,GasA,Y,2,1,3,7,2
239,12030,2007,GasA,Y,2,0,3,7,3
240,8741,1945,GasA,Y,1,1,3,7,1
241,9000,2008,GasA,Y,2,0,3,7,2
242,3880,1945,GasA,Y,1,0,2,4,0
243,5000,1900,GasA,N,1,0,3,6,1
244,10762,1980,GasA,Y,1,1,3,6,1
245,8880,1994,GasA,Y,2,1,3,8,2
246,10400,1988,GasA,Y,2,0,3,6,2
247,9142,1910,GasA,N,2,0,4,9,1
248,11310,1954,GasA,Y,1,0,2,5,2
249,11317,2003,GasA,Y,2,1,3,8,2
250,159000,1958,GasA,Y,2,0,4,7,2
251,5350,1940,GasA,Y,1,0,3,6,0
252,4750,2006,GasA,Y,2,0,2,5,2
253,8366,2004,GasA,Y,2,1,3,6,2
254,9350,1964,GasA,Y,2,0,3,7,1
255,8400,1957,GasA,Y,1,0,3,5,1
256,8738,1999,GasA,Y,2,1,4,8,2
257,8791,2003,GasA,Y,2,1,3,7,2
258,8814,2006,GasA,Y,2,1,3,8,2
259,12435,2001,GasA,Y,2,1,3,7,2
260,12702,1956,GasA,Y,1,0,2,4,1
261,19296,1962,GasA,Y,1,0,3,6,2
262,9588,2007,GasA,Y,2,1,3,10,3
263,8471,1977,GasA,Y,1,0,3,6,2
264,5500,1929,GasA,Y,1,0,3,6,2
265,5232,1925,GasA,N,1,0,2,4,2
266,12090,1981,GasA,Y,2,0,3,7,2
267,11207,1997,GasA,Y,2,1,3,8,2
268,8400,1939,GasA,Y,2,1,4,8,1
269,6900,1940,GasA,Y,1,0,2,4,1
270,7917,1976,GasA,Y,1,1,3,6,1
271,10728,2006,GasA,Y,2,1,3,8,3
272,39104,1954,GasA,Y,1,0,2,5,2
273,11764,1999,GasA,Y,2,1,4,9,3
274,9600,1958,GasA,Y,2,0,3,6,1
275,8314,1982,GasA,Y,1,0,2,5,1
276,7264,1925,GasW,N,2,1,3,5,2
277,9196,2003,GasA,Y,2,0,3,7,2
278,19138,1951,GasA,Y,1,0,2,4,2
279,14450,2006,GasA,Y,2,1,3,8,3
280,10005,1977,GasA,Y,2,1,4,8,2
281,11287,1989,GasA,Y,2,1,3,7,2
282,7200,2006,GasA,Y,2,0,2,5,2
283,5063,2007,GasA,Y,2,0,2,6,2
284,9612,2008,GasA,Y,2,0,3,6,3
285,8012,1992,GasA,Y,2,0,2,5,2
286,4251,2006,GasA,Y,2,1,2,5,2
287,9786,1962,GasA,Y,1,1,3,7,2
288,8125,1971,GasA,Y,1,0,3,5,0
289,9819,1967,GasA,Y,1,0,3,5,1
290,8730,1915,GasA,Y,1,0,3,7,1
291,15611,2006,GasA,Y,2,1,3,8,2
292,5687,1912,GasA,N,2,0,6,9,0
293,11409,1949,GasA,Y,1,1,3,8,1
294,16659,1977,GasA,Y,2,1,3,9,2
295,9600,1953,GasA,Y,1,0,3,7,2
296,7937,1984,GasA,Y,1,0,3,6,2
297,13710,1950,GasA,Y,1,1,4,6,1
298,7399,1997,GasA,Y,2,1,3,7,2
299,11700,1968,GasA,Y,1,2,3,7,2
300,14000,1950,GasA,Y,1,0,3,6,1
301,15750,1953,GasA,Y,1,0,2,5,1
302,16226,1998,GasA,Y,2,1,4,9,2
303,13704,2001,GasA,Y,2,0,3,6,3
304,9800,1972,GasA,Y,1,0,3,5,2
305,18386,1880,GasA,Y,3,0,3,10,3
306,10386,2004,GasA,Y,2,0,3,8,3
307,13474,1990,GasA,Y,2,1,4,8,3
308,7920,1920,GasA,Y,1,0,3,6,0
309,12342,1940,GasA,Y,1,0,1,4,2
310,12378,2003,GasA,Y,2,0,3,8,3
311,7685,1993,GasA,Y,2,1,3,6,2
312,8000,1948,GasA,Y,1,0,2,5,1
313,7800,1939,GasA,Y,1,0,3,5,2
314,215245,1965,GasW,Y,2,0,3,8,2
315,9600,1925,GasA,Y,1,1,3,6,2
316,7795,2004,GasA,Y,2,1,3,6,2
317,13005,1980,GasA,Y,2,1,4,10,2
318,9000,2006,GasA,Y,2,1,3,8,3
319,9900,1993,GasA,Y,2,1,4,9,3
320,14115,1980,GasA,Y,2,0,3,6,2
321,16259,2006,GasA,Y,3,1,4,9,3
322,12099,2004,GasA,Y,2,1,4,10,3
323,10380,1986,GasA,Y,2,1,4,8,2
324,5820,1955,GasA,Y,1,0,3,6,1
325,11275,1967,GasA,Y,2,1,5,11,2
326,5000,1941,GasA,N,1,0,2,5,2
327,10846,1993,GasA,Y,1,1,1,6,2
328,11600,1960,GasA,Y,1,1,3,7,1
329,11888,1916,GasA,N,2,0,5,10,2
330,6402,1920,GasA,N,1,0,3,6,1
331,10624,1964,GasA,Y,2,0,6,10,1
332,8176,1958,GasA,Y,1,0,3,6,1
333,10655,2003,GasA,Y,2,0,3,7,3
334,8198,2004,GasA,Y,2,0,2,6,2
335,9042,1998,GasA,Y,2,1,3,7,2
336,164660,1965,GasA,Y,2,0,3,7,2
337,14157,2005,GasA,Y,2,0,3,8,3
338,9135,2002,GasA,Y,2,0,3,7,2
339,14145,1984,GasA,Y,2,0,3,8,2
340,12400,1958,GasA,Y,1,0,3,6,1
341,14191,2002,GasA,Y,2,1,4,9,2
342,8400,1950,GasA,Y,1,0,2,4,1
343,8544,1949,Wall,N,2,0,2,6,2
344,8849,2005,GasA,Y,2,0,2,6,2
345,2592,1976,GasA,Y,1,1,3,4,1
346,6435,1939,GasA,Y,1,0,3,6,1
347,12772,1960,GasA,Y,1,0,2,5,1
348,17600,1960,GasA,Y,2,0,3,6,2
349,2448,2003,GasA,Y,2,1,2,6,2
350,20431,2005,GasA,Y,2,1,4,10,3
351,7820,2007,GasA,Y,2,0,2,6,2
352,5271,1986,GasA,Y,1,1,2,6,2
353,9084,1941,GasA,N,1,0,3,5,1
354,8520,1928,GasA,Y,1,0,2,5,2
355,8400,1940,GasA,Y,1,0,2,6,1
356,11249,1995,GasA,Y,2,0,3,6,2
357,9248,1992,GasA,Y,2,0,3,6,2
358,4224,1976,GasA,Y,1,1,3,6,2
359,6930,1958,GasA,Y,1,0,3,6,1
360,12011,1998,GasA,Y,2,1,3,7,2
361,7540,1978,GasA,Y,1,0,2,5,2
362,9144,1940,GasA,Y,1,0,3,8,1
363,7301,2003,GasA,Y,3,0,4,7,2
364,1680,1972,GasA,Y,1,1,2,5,1
365,18800,1976,GasA,Y,2,1,3,6,2
366,10690,1920,GasA,Y,1,0,3,6,1
367,9500,1963,GasA,Y,1,1,3,6,2
368,9150,1962,GasA,Y,1,0,3,6,1
369,7800,1954,GasA,Y,1,0,2,7,1
370,9830,1959,GasA,Y,1,0,3,7,2
371,8121,2000,GasA,Y,2,1,3,7,2
372,17120,1959,GasA,Y,2,0,4,7,2
373,7175,1984,GasA,Y,1,0,2,4,1
374,10634,1953,GasA,Y,1,0,3,5,1
375,8200,2003,GasA,Y,2,1,4,8,2
376,10020,1922,GasA,N,0,1,1,4,0
377,8846,1996,GasA,Y,1,0,2,5,2
378,11143,2004,GasA,Y,3,0,4,8,2
379,11394,2010,GasA,Y,1,1,1,8,3
380,8123,2000,GasA,Y,2,1,3,7,2
381,5000,1924,GasA,Y,2,0,3,6,1
382,7200,2006,GasA,Y,2,0,2,5,2
383,9245,2006,GasA,Y,2,1,3,8,2
384,9000,1928,GasA,N,1,0,2,5,2
385,53107,1992,GasA,Y,2,1,3,9,2
386,3182,2004,GasA,Y,2,0,2,6,2
387,8410,1910,GasA,Y,1,0,5,8,0
388,7200,1976,GasA,Y,1,0,3,6,1
389,9382,1999,GasA,Y,2,0,3,6,2
390,12474,2007,GasA,Y,2,1,3,9,3
391,8405,1900,GasA,Y,1,0,4,7,1
392,12209,2001,GasA,Y,2,1,3,7,2
393,8339,1959,GasA,Y,1,0,3,5,1
394,7446,1941,GasA,Y,1,0,2,4,0
395,10134,1940,GasA,Y,1,0,2,5,1
396,9571,1956,GasA,Y,1,0,3,6,1
397,7200,1972,GasA,Y,1,0,2,6,2
398,7590,1962,GasA,Y,2,0,4,8,1
399,8967,1920,GasA,Y,1,0,2,6,1
400,8125,2006,GasA,Y,2,0,2,7,2
401,14963,1996,GasA,Y,1,1,1,4,2
402,8767,2005,GasA,Y,2,0,3,6,2
403,10200,1940,GasA,Y,1,0,2,4,1
404,12090,1998,GasA,Y,2,1,4,10,2
405,10364,1995,GasA,Y,2,1,3,7,2
406,9991,1976,GasA,Y,2,0,3,8,2
407,10480,1936,GasA,Y,1,0,3,6,1
408,15576,1915,GasA,Y,2,0,4,8,1
409,14154,2006,GasA,Y,2,1,3,9,3
410,10800,2007,GasA,Y,2,1,3,8,3
411,9571,1958,GasA,Y,1,0,3,5,1
412,34650,1955,GasA,N,1,0,3,5,2
413,4403,2009,GasA,Y,2,1,2,7,2
414,8960,1927,GasA,Y,1,0,2,5,2
415,11228,1993,GasA,Y,2,1,3,9,3
416,8899,2007,GasA,Y,2,0,3,6,2
417,7844,1978,GasA,Y,1,1,3,6,2
418,22420,1918,GasW,N,2,1,4,10,3
419,8160,1940,GasA,N,1,1,3,7,1
420,8450,1968,GasA,Y,1,0,3,6,1
421,7060,1997,GasA,Y,2,0,2,8,4
422,16635,1977,GasA,Y,2,0,3,8,2
423,21750,1954,GasA,Y,1,0,2,4,2
424,9200,1998,GasA,Y,2,1,4,8,3
425,9000,1956,GasA,Y,1,0,2,6,1
426,3378,1946,GasA,Y,1,1,3,6,1
427,12800,1989,GasA,Y,2,0,2,5,2
428,8593,1957,GasA,Y,1,0,3,5,1
429,6762,2007,GasA,Y,2,0,2,6,2
430,11457,1988,GasA,Y,2,0,3,6,2
431,1680,1971,GasA,Y,1,1,2,4,1
432,5586,1920,GasA,Y,1,0,4,7,0
433,1920,1971,GasA,Y,1,1,2,6,2
434,10839,1997,GasA,Y,2,1,3,7,2
435,1890,1972,GasA,Y,1,0,1,3,0
436,10667,1996,GasA,Y,2,1,3,6,2
437,4400,1920,GasA,Y,1,0,2,6,2
438,6000,1926,GasA,Y,1,0,2,4,1
439,4280,1913,GasA,N,1,0,2,4,1
440,12354,1920,GasA,Y,1,0,3,7,2
441,15431,2008,GasA,Y,2,0,2,10,3
442,12108,1955,GasA,N,2,0,4,8,0
443,6240,1930,GasA,Y,2,0,3,8,2
444,3922,2006,GasA,Y,2,0,2,6,3
445,8750,1994,GasA,Y,2,1,4,8,2
446,9855,1956,GasA,Y,1,0,3,7,2
447,16492,1966,GasA,Y,2,1,2,6,2
448,11214,1998,GasA,Y,2,1,4,10,2
449,8600,1937,GasA,Y,2,0,3,7,1
450,6000,1948,GasA,Y,1,1,2,6,1
451,5684,1930,GasA,Y,1,0,2,5,1
452,70761,1975,GasA,Y,2,0,2,5,2
453,9303,1996,GasA,Y,2,1,3,7,2
454,9000,2008,GasA,Y,2,1,3,6,2
455,9297,1976,GasA,Y,2,0,4,8,2
456,9600,1973,GasA,Y,1,1,3,6,2
457,4571,1916,GasA,N,1,0,4,7,3
458,53227,1954,GasA,Y,1,0,2,6,2
459,5100,1925,GasA,Y,1,0,3,7,1
460,7015,1950,GasA,Y,1,0,3,5,1
461,8004,2009,GasA,Y,2,1,3,8,2
462,7200,1936,GasA,Y,1,0,3,6,2
463,8281,1965,GasA,Y,1,0,3,5,1
464,11988,1934,GasA,Y,1,1,3,6,1
465,8430,1978,GasA,Y,2,0,3,5,0
466,3072,2004,GasA,Y,2,0,2,6,2
467,10628,1970,GasA,Y,1,0,2,5,2
468,9480,1942,GasA,Y,1,1,3,7,1
469,11428,2006,GasA,Y,2,0,3,7,3
470,9291,1993,GasA,Y,2,1,3,7,2
471,6820,1985,GasA,Y,1,1,1,4,2
472,11952,1977,GasA,Y,2,1,3,8,2
473,3675,2005,GasA,Y,1,0,2,5,2
474,14977,2006,GasA,Y,2,0,2,7,3
475,5330,2000,GasA,Y,2,0,2,6,2
476,8480,1963,GasA,Y,1,0,2,5,2
477,13125,1997,GasA,Y,2,0,3,7,2
478,13693,2006,GasA,Y,2,1,3,9,3
479,10637,2007,GasA,Y,2,0,3,7,3
480,5925,1937,GasA,Y,1,0,2,7,2
481,16033,2004,GasA,Y,2,0,3,8,3
482,11846,2003,GasA,Y,2,0,2,6,3
483,2500,1915,GasA,Y,1,1,4,7,1
484,4500,1998,GasA,Y,2,0,2,5,2
485,7758,1962,GasA,Y,1,0,3,6,1
486,9600,1950,GasA,Y,1,0,3,5,1
487,10289,1965,GasA,Y,1,1,3,6,2
488,12243,1971,GasA,Y,2,0,3,7,2
489,10800,1900,GasA,N,2,0,3,10,2
490,1526,1970,GasA,Y,1,0,1,3,1
491,2665,1976,GasA,Y,1,1,3,4,1
492,9490,1941,GasA,Y,1,0,3,5,1
493,15578,2006,GasA,Y,2,1,3,8,2
494,7931,1960,GasA,Y,1,1,3,6,1
495,5784,1938,GasA,Y,1,0,2,4,1
496,7879,1920,GasA,N,1,0,2,4,0
497,12692,1992,GasA,Y,3,0,4,10,2
498,9120,1925,GasA,Y,2,0,4,8,1
499,7800,1967,GasA,Y,1,0,3,5,1
500,7535,1958,GasA,Y,1,0,2,5,1
501,1890,1973,GasA,Y,1,1,3,7,1
502,9803,2005,GasA,Y,2,1,3,7,2
503,9170,1965,GasA,Y,1,0,2,6,2
504,15602,1959,GasA,Y,2,0,1,6,2
505,2308,1974,GasA,Y,2,1,3,6,2
506,7596,1952,GasA,Y,2,0,4,10,2
507,9554,1993,GasA,Y,2,1,3,8,2
508,7862,2009,GasA,Y,2,0,2,4,2
509,9600,1928,GasA,Y,2,0,3,7,2
510,9600,1959,GasA,Y,1,0,3,6,1
511,14559,1951,GasA,Y,1,0,2,6,1
512,6792,2005,GasA,Y,2,0,2,6,2
513,9100,1958,GasA,Y,1,0,3,5,2
514,9187,1983,GasA,Y,1,1,3,5,2
515,10594,1926,Grav,N,1,0,2,5,1
516,12220,2009,GasA,Y,2,1,3,9,3
517,10448,1972,GasA,Y,2,1,3,7,2
518,10208,1996,GasA,Y,2,1,3,7,3
519,9531,1998,GasA,Y,2,1,3,7,2
520,10918,1926,GasA,Y,1,1,3,9,1
521,10800,1900,GasA,N,2,0,3,7,0
522,11988,1957,GasA,Y,1,1,3,6,1
523,5000,1947,GasA,Y,2,0,3,7,2
524,40094,2007,GasA,Y,3,1,3,11,3
525,11787,1996,GasA,Y,2,1,3,8,3
526,7500,2005,GasA,Y,2,0,3,6,2
527,13300,1956,GasA,Y,1,0,2,4,1
528,14948,2008,GasA,Y,2,1,3,11,3
529,9098,1920,GasA,Y,1,0,2,5,0
530,32668,1957,GasA,Y,3,0,4,9,2
531,10200,1988,GasA,Y,2,0,3,5,2
532,6155,1920,GasA,Y,2,0,3,6,2
533,7200,1955,GasA,Y,1,0,2,5,1
534,5000,1946,GasA,N,1,0,1,2,0
535,9056,2004,GasA,Y,2,1,3,6,2
536,7000,1910,GasA,Y,1,0,3,5,0
537,8924,1998,GasA,Y,2,1,3,8,2
538,12735,1972,GasA,Y,1,0,3,5,2
539,11553,1968,GasA,Y,1,1,3,7,1
540,11423,2001,GasA,Y,2,0,3,6,2
541,14601,2006,GasA,Y,2,0,2,8,3
542,11000,2000,GasA,Y,2,1,4,8,3
543,10140,1998,GasA,Y,2,0,3,7,2
544,4058,1998,GasA,Y,1,0,1,4,1
545,17104,2006,GasA,Y,2,1,3,7,2
546,13837,1988,GasA,Y,2,1,4,9,3
547,8737,1923,GasA,Y,1,1,3,6,2
548,7244,1970,GasA,Y,1,0,2,5,2
549,8235,1955,GasA,Y,1,0,2,4,2
550,9375,2003,GasA,Y,2,1,4,8,2
551,4043,1977,GasA,Y,2,0,2,4,2
552,6000,1957,GasA,Y,1,0,3,5,1
553,11146,2006,GasA,Y,2,0,3,7,3
554,8777,1949,GasA,Y,2,0,2,5,2
555,10625,2003,GasA,Y,2,1,3,8,3
556,6380,1922,GasA,Y,1,0,2,5,1
