Id,YrSold,SaleType,SaleCondition,SalePrice
208,2008,WD,Normal,141000
209,2007,WD,Normal,277000
210,2008,WD,Normal,145000
211,2008,WD,Normal,98000
212,2010,WD,Normal,186000
213,2009,New,Partial,252678
214,2006,WD,Normal,156000
215,2010,WD,Normal,161750
216,2006,WD,Normal,134450
217,2008,WD,Normal,210000
218,2006,WD,Family,107000
219,2008,WD,Normal,311500
220,2006,New,Partial,167240
221,2006,New,Partial,204900
222,2009,ConLI,Normal,200000
223,2006,WD,Normal,179900
224,2009,WD,Abnorml,97000
225,2009,WD,Normal,386250
226,2009,COD,Abnorml,112000
227,2007,WD,Abnorml,290000
228,2008,WD,Normal,106000
229,2010,WD,Normal,125000
230,2009,WD,Normal,192500
231,2010,WD,Normal,148000
232,2009,WD,Normal,403000
233,2006,WD,Normal,94500
234,2010,WD,Normal,128200
235,2010,WD,Normal,216500
236,2008,WD,Normal,89500
237,2010,WD,Normal,185500
238,2010,WD,Normal,194500
239,2007,New,Partial,318000
240,2010,WD,Normal,113000
241,2010,WD,Normal,262500
242,2007,WD,Normal,110500
243,2006,WD,Normal,79000
244,2009,WD,Normal,120000
245,2010,WD,Normal,205000
246,2006,WD,Normal,241500
247,2006,WD,Normal,137000
248,2006,WD,Normal,140000
249,2007,WD,Normal,180000
250,2007,WD,Normal,277000
251,2010,WD,Normal,76500
252,2007,WD,Family,235000
253,2008,WD,Normal,173000
254,2007,CWD,Normal,158000
255,2010,WD,Normal,145000
256,2006,WD,Normal,230000
257,2008,WD,Normal,207500
258,2009,WD,Abnorml,220000
259,2008,WD,Normal,231500
260,2008,WD,Normal,97000
261,2009,WD,Normal,176000
262,2007,New,Partial,276000
263,2006,WD,Normal,151000
264,2010,WD,Normal,130000
265,2008,WD,Normal,73000
266,2008,WD,Normal,175500
267,2006,WD,Normal,185000
268,2008,WD,Normal,179500
269,2008,WD,Normal,120500
270,2007,WD,Normal,148000
271,2006,New,Partial,266000
272,2008,WD,Normal,241500
273,2010,WD,Normal,290000
274,2009,WD,Normal,139000
275,2007,WD,Normal,124500
276,2009,WD,Normal,205000
277,2010,WD,Normal,201000
278,2010,WD,Normal,141000
279,2007,New,Partial,415298
280,2008,WD,Normal,192000
281,2007,WD,Normal,228500
282,2006,New,Partial,185000
283,2009,ConLw,Normal,207500
284,2009,New,Partial,244600
285,2007,WD,Normal,179200
286,2007,New,Partial,164700
287,2006,WD,Normal,159000
288,2006,WD,Normal,88000
289,2010,WD,Normal,122000
290,2007,WD,Normal,153575
291,2006,New,Partial,233230
292,2008,WD,Normal,135900
293,2009,WD,Normal,131000
294,2006,WD,Normal,235000
295,2009,WD,Normal,167000
296,2006,WD,Normal,142500
297,2007,WD,Normal,152000
298,2007,WD,Normal,239000
299,2007,WD,Normal,175000
300,2009,WD,Family,158500
301,2006,WD,Normal,157000
302,2007,WD,Normal,267000
303,2006,WD,Normal,205000
304,2006,WD,Abnorml,149900
305,2008,WD,Normal,295000
306,2007,WD,Normal,305900
307,2007,WD,Normal,225000
308,2008,WD,Normal,89500
309,2009,WD,Normal,82500
310,2006,WD,Normal,360000
311,2006,WD,Normal,165600
312,2009,WD,Normal,132000
313,2006,WD,Normal,119900
314,2009,WD,Normal,375000
315,2006,WD,Normal,178000
316,2009,WD,Normal,188500
317,2009,WD,Normal,260000
318,2007,WD,Normal,270000
319,2009,WD,Normal,260000
320,2009,WD,Normal,187500
321,2006,New,Partial,342643
322,2007,WD,Normal,354000
323,2007,WD,Normal,301000
324,2006,WD,Normal,126175
325,2010,WD,Normal,242000
326,2007,WD,Normal,87000
327,2008,Con,Normal,324000
328,2006,WD,Normal,145250
329,2009,WD,Normal,214500
330,2009,WD,Normal,78000
331,2007,WD,Normal,119000
332,2007,WD,Normal,139000
333,2009,WD,Normal,284000
334,2008,WD,Normal,207000
335,2008,WD,Normal,192000
336,2008,WD,Normal,228950
337,2007,WD,Normal,377426
338,2008,WD,Normal,214000
339,2006,WD,Normal,202500
340,2009,WD,Normal,155000
341,2010,WD,Normal,202900
342,2009,WD,Normal,82000
343,2006,WD,Normal,87500
344,2008,WD,Normal,266000
345,2010,WD,Normal,85000
346,2006,WD,Normal,140200
347,2007,WD,Normal,151500
348,2009,WD,Normal,157500
349,2008,WD,Normal,154000
350,2006,New,Partial,437154
351,2007,New,Partial,318061
352,2006,WD,Abnorml,190000
353,2008,ConLw,Normal,95000
354,2010,WD,Normal,105900
355,2006,WD,Normal,140000
356,2007,WD,Normal,177500
357,2009,WD,Normal,173000
358,2007,WD,Normal,134000
359,2006,WD,Abnorml,130000
360,2006,WD,Normal,280000
361,2007,WD,Normal,156000
362,2008,WD,Normal,145000
363,2009,ConLD,Normal,198500
364,2009,WD,Normal,118000
365,2006,WD,Normal,190000
366,2009,WD,Normal,147000
367,2009,WD,Normal,159000
368,2008,WD,Normal,165000
369,2010,WD,Normal,132000
370,2010,WD,Normal,162000
371,2006,WD,Normal,172400
372,2008,WD,Normal,134432
373,2010,WD,Normal,125000
374,2009,WD,Normal,123000
375,2007,WD,Normal,219500
376,2009,WD,Normal,61000
377,2006,WD,Normal,148000
378,2007,WD,Normal,340000
379,2010,New,Partial,394432
380,2009,WD,Normal,179000
381,2010,WD,Normal,127000
382,2006,New,Partial,187750
383,2007,WD,Normal,213500
384,2009,WD,Normal,76000
385,2007,WD,Normal,240000
386,2010,WD,Normal,192000
387,2006,WD,AdjLand,81000
388,2009,WD,Abnorml,125000
389,2008,WD,Normal,191000
390,2008,New,Partial,426000
391,2008,WD,Normal,119000
392,2009,WD,Normal,215000
393,2007,WD,Normal,106500
394,2006,WD,Abnorml,100000
395,2007,WD,Normal,109000
396,2010,WD,Normal,129000
397,2009,WD,Normal,123000
398,2007,WD,Normal,169500
399,2007,WD,Abnorml,67000
400,2009,WD,Normal,241000
401,2008,WD,Normal,245500
402,2006,New,Partial,164990
403,2008,WD,Normal,108000
404,2006,WD,Abnorml,258000
405,2007,WD,Normal,168000
406,2009,WD,Normal,150000
407,2008,WD,Normal,115000
408,2008,WD,Normal,177000
409,2007,New,Partial,280000
410,2008,New,Partial,339750
411,2009,COD,Abnorml,60000
412,2006,WD,Normal,145000
413,2010,New,Partial,222000
414,2010,WD,Normal,115000
415,2008,WD,Normal,228000
416,2007,New,Partial,181134
417,2006,WD,Normal,149500
418,2007,WD,Normal,239000
419,2007,WD,AdjLand,126000
420,2010,WD,Normal,142000
421,2008,WD,Alloca,206300
422,2009,WD,Normal,215000
423,2008,WD,Normal,113000
424,2008,WD,Normal,315000
425,2008,WD,Normal,139000
426,2009,WD,Normal,135000
427,2009,WD,Normal,275000
428,2008,WD,Normal,109008
429,2007,New,Partial,195400
430,2009,WD,Normal,175000
431,2008,COD,Abnorml,85400
432,2008,ConLD,Abnorml,79900
433,2007,WD,Normal,122500
434,2008,WD,Normal,181000
435,2008,WD,Normal,81000
436,2009,ConLw,Normal,212000
437,2006,WD,Normal,116000
438,2009,WD,Normal,119000
439,2007,WD,Normal,90350
440,2009,ConLI,Normal,110000
441,2009,WD,Normal,555000
442,2008,WD,Normal,118000
443,2008,WD,Normal,162900
444,2007,New,Partial,172500
445,2008,WD,Normal,210000
446,2009,COD,Normal,127500
447,2010,WD,Normal,190000
448,2006,WD,Normal,199900
449,2006,WD,Normal,119500
450,2007,WD,Normal,120000
451,2006,WD,Normal,110000
452,2006,WD,Normal,280000
453,2007,WD,Normal,204000
454,2009,WD,Normal,210000
455,2006,WD,Family,188000
456,2007,WD,Normal,175500
457,2008,COD,Abnorml,98000
458,2008,WD,Normal,256000
459,2008,WD,Normal,161000
460,2009,WD,Normal,110000
461,2009,New,Partial,263435
462,2009,WD,Normal,155000
463,2009,WD,Normal,62383
464,2008,WD,Normal,188700
465,2009,WD,Normal,124000
466,2006,WD,Normal,178740
467,2007,WD,Normal,167000
468,2007,WD,Normal,146500
469,2007,WD,Normal,250000
470,2008,WD,Normal,187000
471,2010,WD,Normal,212000
472,2007,WD,Normal,190000
473,2008,WD,Normal,148000
474,2007,New,Partial,440000
475,2007,WD,Normal,251000
476,2007,WD,Normal,132500
477,2008,WD,Normal,208900
478,2007,WD,Normal,380000
479,2009,WD,Normal,297000
480,2007,WD,Alloca,89471
481,2006,WD,Normal,326000
482,2006,WD,Normal,374000
483,2009,WD,Normal,155000
484,2006,WD,Normal,164000
485,2007,WD,Normal,132500
486,2009,WD,Normal,147000
487,2007,WD,Normal,156000
488,2007,WD,Normal,175000
489,2006,ConLD,Normal,160000
490,2009,WD,Normal,86000
491,2008,WD,Normal,115000
492,2006,WD,Normal,133000
493,2006,New,Partial,172785
494,2008,WD,Normal,155000
495,2009,WD,Normal,91300
496,2009,WD,Abnorml,34900
497,2007,WD,Normal,430000
498,2008,WD,Normal,184000
499,2009,WD,Normal,130000
500,2007,WD,Normal,120000
501,2007,WD,Normal,113000
502,2008,WD,Normal,226700
503,2007,WD,Normal,140000
504,2010,WD,Normal,289000
505,2009,WD,Normal,147000
506,2009,COD,Normal,124500
507,2006,WD,Normal,215000
508,2009,New,Partial,208300
509,2008,WD,Normal,161000
510,2009,WD,Normal,124500
511,2009,WD,Normal,164900
512,2006,New,Partial,202665
513,2006,WD,Normal,129900
514,2007,WD,Normal,134000
515,2007,WD,Normal,96500
516,2009,New,Partial,402861
517,2009,COD,Abnorml,158000
518,2009,WD,Normal,265000
519,2007,WD,Normal,211000
520,2009,WD,Normal,234000
521,2008,WD,Normal,106250
522,2007,WD,Normal,150000
523,2006,WD,Normal,159000
524,2007,New,Partial,184750
525,2007,WD,Normal,315750
526,2006,WD,Normal,176000
527,2007,WD,Normal,132000
528,2008,New,Partial,446261
529,2007,WD,Normal,86000
530,2007,WD,Alloca,200624
531,2008,WD,Abnorml,175000
532,2008,WD,Normal,128000
533,2010,WD,Normal,107500
534,2007,WD,Normal,39300
535,2006,WD,Normal,178000
536,2008,WD,Normal,107500
537,2008,WD,Normal,188000
538,2008,COD,Normal,111250
539,2006,WD,Normal,158000
540,2010,WD,Normal,272000
541,2009,WD,Normal,315000
542,2007,WD,Normal,248000
543,2009,WD,Normal,213250
544,2007,WD,Normal,133000
545,2006,New,Partial,179665
546,2006,WD,Normal,229000
547,2007,WD,Normal,210000
548,2007,WD,Normal,129500
549,2008,WD,Normal,125000
550,2009,WD,Normal,263000
551,2008,COD,Abnorml,140000
552,2008,WD,Normal,112500
553,2009,WD,Normal,255500
554,2009,WD,Normal,108000
555,2008,WD,Normal,284000
556,2006,WD,Normal,113000
557,2006,WD,Normal,141000
558,2006,COD,Normal,108000
559,2008,WD,Normal,175000
560,2006,WD,Normal,234000
561,2010,WD,Normal,121500
562,2006,WD,Normal,170000
563,2008,WD,Normal,108000
564,2008,WD,Normal,185000
565,2006,WD,Normal,268000
566,2010,WD,Normal,128000
567,2008,WD,Normal,325000
568,2010,WD,Normal,214000
569,2009,WD,Normal,316600
570,2006,WD,Normal,135960
571,2008,WD,Normal,142600
572,2006,WD,Abnorml,120000
573,2009,New,Partial,224500
574,2007,WD,Normal,170000
575,2007,WD,Normal,139000
576,2008,COD,Abnorml,118500
577,2009,WD,Normal,145000
578,2006,WD,Abnorml,164500
579,2008,WD,Abnorml,146000
580,2008,WD,Normal,131500
581,2007,WD,Normal,181900
582,2009,New,Partial,253293
583,2007,WD,Normal,118500
584,2008,WD,Normal,325000
585,2009,WD,Normal,133000
586,2006,New,Partial,369900
587,2008,WD,Normal,130000
588,2009,WD,Normal,137000
589,2009,WD,Partial,143000
590,2008,WD,Normal,79500
591,2008,WD,Normal,185900
592,2009,ConLI,Normal,451950
593,2008,WD,Normal,138000
594,2009,WD,Normal,140000
595,2008,WD,Normal,110000
596,2006,New,Partial,319000
597,2006,WD,Normal,114504
598,2007,New,Partial,194201
599,2006,WD,Normal,217500
600,2008,COD,Normal,151000
601,2006,WD,Normal,275000
602,2007,WD,Normal,141000
603,2006,WD,Abnorml,220000
604,2010,WD,Normal,151000
605,2008,WD,Normal,221000
606,2009,WD,Normal,205000
607,2009,WD,Normal,152000
608,2006,WD,Normal,225000
609,2007,WD,Alloca,359100
610,2007,WD,Normal,118500
611,2009,WD,Normal,313000
612,2007,WD,Normal,148000
613,2009,WD,Normal,261500
614,2007,New,Partial,147000
615,2010,WD,Normal,75500
616,2010,WD,Abnorml,137500
617,2006,WD,Normal,183200
618,2008,WD,Normal,105500
619,2007,New,Partial,314813
620,2008,WD,Normal,305000
621,2008,WD,Normal,67000
622,2008,WD,Normal,240000
623,2009,WD,Normal,135000
624,2007,WD,Normal,168500
625,2006,WD,Normal,165150
626,2010,WD,Normal,160000
627,2007,WD,Normal,139900
628,2010,WD,Normal,153000
629,2007,WD,Family,135000
630,2008,WD,Normal,168500
631,2006,WD,Abnorml,124000
632,2007,WD,Normal,209500
633,2009,WD,Family,82500
634,2007,WD,Normal,139400
635,2010,WD,Normal,144000
636,2007,WD,Abnorml,200000
637,2009,ConLw,Normal,60000
638,2009,WD,Normal,93000
639,2008,WD,Normal,85000
640,2006,New,Partial,264561
641,2008,WD,Normal,274000
642,2007,WD,Normal,226000
643,2009,WD,Normal,345000
644,2007,WD,Normal,152000
645,2009,New,Partial,370878
646,2007,WD,Normal,143250
647,2008,WD,Normal,98300
648,2008,WD,Normal,155000
649,2010,WD,Normal,155000
650,2007,WD,Normal,84500
651,2008,WD,Normal,205950
652,2009,WD,Normal,108000
653,2009,WD,Normal,191000
654,2008,WD,Normal,135000
655,2008,WD,Normal,350000
656,2010,WD,Family,88000
657,2008,WD,Normal,145500
658,2008,WD,Normal,149000
659,2010,WD,Abnorml,97500
660,2009,WD,Normal,167000
661,2007,WD,Normal,197900
662,2009,WD,Normal,402000
663,2009,WD,Normal,110000
664,2008,WD,Normal,137500
665,2006,New,Partial,423000
666,2006,WD,Normal,230500
667,2007,WD,Abnorml,129000
668,2008,WD,Normal,193500
669,2006,WD,Normal,168000
670,2006,WD,Normal,137500
671,2009,WD,Normal,173500
672,2009,WD,Normal,103600
673,2006,WD,Normal,165000
674,2007,WD,Normal,257500
675,2008,WD,Normal,140000
676,2009,WD,Normal,148500
677,2006,WD,Normal,87000
678,2009,WD,Normal,109500
679,2009,New,Partial,372500
680,2007,WD,Normal,128500
681,2010,WD,Normal,143000
682,2009,WD,Abnorml,159434
683,2008,WD,Normal,173000
684,2007,WD,Normal,285000
685,2010,WD,Normal,221000
686,2007,WD,Normal,207500
687,2007,New,Partial,227875
688,2007,WD,Normal,148800
689,2007,New,Partial,392000
690,2007,WD,Normal,194700
691,2008,WD,Normal,141000
692,2007,WD,Normal,755000
693,2006,WD,Normal,335000
694,2006,WD,Abnorml,108480
695,2009,WD,Normal,141500
696,2006,WD,Normal,176000
697,2006,WD,Normal,89000
698,2006,WD,Normal,123500
699,2010,WD,Normal,138500
700,2008,WD,Normal,196000
701,2006,WD,Normal,312500
702,2006,COD,Normal,140000
703,2006,New,Partial,361919
704,2010,WD,Normal,140000
705,2010,WD,Normal,213000
706,2010,WD,Normal,55000
707,2007,WD,Normal,302000
708,2009,WD,Normal,254000
709,2007,New,Partial,179540
710,2008,WD,Abnorml,109900
711,2008,WD,Normal,52000
712,2010,WD,Abnorml,102776
713,2008,WD,Normal,189000
714,2006,WD,Normal,129000
715,2010,WD,Normal,130500
716,2009,WD,Normal,165000
717,2007,WD,Normal,159500
718,2008,WD,Normal,157000
719,2008,WD,Normal,341000
720,2006,WD,Normal,128500
721,2006,WD,Normal,275000
722,2010,WD,Normal,143000
723,2009,WD,Normal,124500
724,2008,WD,Normal,135000
725,2009,WD,Normal,320000
726,2009,WD,Normal,120500
727,2009,WD,Normal,222000
728,2009,WD,Normal,194500
729,2009,COD,Abnorml,110000
730,2009,WD,Normal,103000
731,2010,WD,Normal,236500
732,2007,WD,Normal,187500
733,2008,WD,Normal,222500
734,2009,WD,Normal,131400
735,2007,WD,Family,108000
736,2006,WD,Normal,163000
737,2006,WD,Normal,93500
738,2006,WD,Normal,239900
739,2009,WD,Alloca,179000
740,2009,WD,Normal,190000
741,2007,WD,Abnorml,132000
742,2008,WD,Normal,142000
743,2007,WD,Normal,179000
744,2009,WD,Normal,175000
745,2008,WD,Normal,180000
746,2008,WD,Normal,299800
747,2009,WD,Normal,236000
748,2009,WD,Normal,265979
749,2010,WD,Normal,260400
750,2009,WD,Normal,98000
751,2010,WD,Normal,96500
752,2007,WD,Normal,162000
753,2006,WD,Normal,217000
754,2006,WD,Normal,275500
755,2009,WD,Normal,156000
756,2009,WD,Normal,172500
757,2009,WD,Normal,212000
758,2010,WD,Abnorml,158900
759,2008,WD,Normal,179400
760,2007,WD,Normal,290000
761,2009,WD,Normal,127500
762,2009,WD,Normal,100000
763,2010,Con,Normal,215200
764,2009,WD,Normal,337000
765,2006,WD,Normal,270000
766,2008,New,Partial,264132
767,2010,WD,Normal,196500
768,2008,WD,Normal,160000
769,2006,WD,Normal,216837
770,2010,WD,Normal,538000
771,2009,WD,Normal,134900
772,2006,COD,Normal,102000
773,2010,WD,Abnorml,107000
774,2007,COD,Normal,114500
775,2007,New,Partial,395000
776,2009,WD,Normal,162000
777,2006,New,Partial,221500
778,2006,WD,Normal,142500
779,2007,WD,Normal,144000
780,2006,WD,Normal,135000
781,2007,WD,Normal,176000
782,2006,WD,Normal,175900
783,2009,WD,Normal,187100
784,2009,WD,Normal,165500
785,2008,WD,Normal,128000
786,2009,WD,Normal,161500
787,2010,WD,Normal,139000
788,2010,WD,Normal,233000
789,2008,WD,Normal,107900
790,2007,WD,Normal,187500
791,2009,WD,Normal,160200
792,2007,WD,Normal,146800
793,2007,WD,Normal,269790
794,2007,New,Partial,225000
795,2008,WD,Normal,194500
796,2010,WD,Normal,171000
797,2007,WD,Normal,143500
798,2008,WD,Abnorml,110000
799,2009,New,Partial,485000
800,2007,WD,Normal,175000
801,2008,WD,Normal,200000
802,2007,WD,Normal,109900
803,2008,WD,Normal,189000
804,2009,New,Partial,582933
805,2006,WD,Family,118000
806,2008,New,Partial,227680
807,2006,WD,Normal,135500
808,2009,WD,Normal,223500
809,2006,WD,Normal,159950
810,2009,WD,Normal,106000
811,2006,WD,Normal,181000
812,2008,ConLD,Normal,144500
813,2010,WD,Alloca,55993
814,2007,COD,Normal,157900
815,2006,WD,Normal,116000
816,2010,WD,Normal,224900
817,2006,WD,Normal,137000
818,2008,WD,Normal,271000
819,2010,WD,Normal,155000
820,2010,New,Partial,224000
821,2008,WD,Normal,183000
822,2009,WD,Normal,93000
823,2007,WD,Family,225000
824,2009,WD,Normal,139500
825,2006,New,Partial,232600
826,2008,New,Partial,385000
827,2008,WD,Normal,109500
828,2009,WD,Normal,189000
829,2009,WD,Abnorml,185000
830,2006,WD,Normal,147400
831,2008,WD,Normal,166000
832,2006,WD,Normal,151000
833,2010,WD,Normal,237000
834,2009,WD,Normal,167000
835,2008,WD,Normal,139950
836,2010,WD,Normal,128000
837,2007,COD,Normal,153500
838,2008,WD,Normal,100000
839,2008,WD,Normal,144000
840,2008,WD,Normal,130500
841,2008,WD,Normal,140000
842,2008,WD,Normal,157500
843,2008,WD,Normal,174900
844,2007,WD,Normal,141000
845,2008,WD,Normal,153900
846,2007,WD,Normal,171000
847,2009,WD,Normal,213000
848,2009,WD,Normal,133500
849,2008,WD,Normal,240000
850,2007,WD,Normal,187000
851,2007,WD,Normal,131500
852,2006,WD,Normal,215000
853,2007,WD,Normal,164000
854,2009,WD,Normal,158000
855,2006,WD,Abnorml,170000
856,2010,WD,Normal,127000
857,2008,WD,Normal,147000
858,2009,WD,Normal,174000
859,2009,WD,Family,152000
860,2006,WD,Normal,250000
861,2007,WD,Normal,189950
862,2010,WD,Normal,131500
863,2010,WD,Normal,152000
864,2009,WD,Normal,132500
865,2008,New,Partial,250580
866,2009,WD,Normal,148500
867,2007,New,Partial,248900
868,2007,WD,Normal,129000
869,2006,WD,Normal,169000
870,2010,WD,Normal,236000
871,2009,WD,Normal,109500
872,2010,WD,Normal,200500
873,2008,WD,Normal,116000
874,2009,WD,Normal,133000
875,2009,WD,Abnorml,66500
876,2007,New,Partial,303477
877,2007,WD,Normal,132250
878,2009,WD,Normal,350000
879,2010,WD,Normal,148000
880,2009,WD,Normal,136500
881,2007,WD,Normal,157000
882,2007,WD,Normal,187500
883,2009,WD,Normal,178000
884,2006,WD,Normal,118500
885,2009,WD,Normal,100000
886,2008,CWD,Abnorml,328900
887,2006,WD,Family,145000
888,2008,WD,Normal,135500
889,2007,WD,Normal,268000
890,2009,WD,Normal,149500
891,2007,WD,Normal,122900
892,2009,WD,Normal,172500
893,2006,WD,Normal,154500
894,2008,WD,Normal,165000
895,2009,WD,Alloca,118858
896,2008,WD,Normal,140000
897,2006,WD,Abnorml,106500
898,2009,WD,Alloca,142953
899,2010,New,Partial,611657
900,2006,WD,Normal,135000
901,2007,WD,Normal,110000
902,2009,WD,Normal,153000
903,2006,WD,Normal,180000
904,2006,New,Partial,240000
905,2007,WD,Normal,125500
906,2010,WD,Normal,128000
907,2007,WD,Normal,255000
908,2006,WD,Normal,250000
909,2006,WD,Normal,131000
910,2009,WD,Normal,174000
911,2010,WD,Normal,154300
912,2009,WD,Normal,143500
913,2006,WD,Abnorml,88000
914,2007,WD,Normal,145000
915,2009,New,Partial,173733
916,2007,WD,Normal,75000
917,2006,WD,Abnorml,35311
918,2009,WD,Normal,135000
919,2007,WD,Normal,238000
920,2008,WD,Normal,176500
921,2007,WD,Normal,201000
922,2008,WD,Normal,145900
923,2006,New,Partial,169990
924,2008,WD,Normal,193000
925,2006,WD,Normal,207500
